Industry_ID,Date,CO2,SO2
1,2019-01-31,2292.6807198678775,55.024337276829066
1,2019-02-28,4052.059325431823,97.24942381036375
1,2019-03-31,1519.5406729942033,36.46897615186088
1,2019-04-30,3352.6780653245855,80.46427356779006
1,2019-05-31,2624.587339145987,62.99009613950368
1,2019-06-30,2013.255796360268,48.318139112646435
1,2019-07-31,2365.6205371707842,56.77489289209882
1,2019-08-31,2111.882073638145,50.68516976731548
1,2019-09-30,4875.8416402925395,117.02019936702095
1,2019-10-31,3412.4314370525776,81.89835448926185
1,2019-11-30,2126.635154369741,51.03924370487378
1,2019-12-31,2604.7803158741067,62.51472758097856
1,2020-01-31,2189.4713624076517,52.54731269778364
1,2020-02-29,2389.5354425692985,57.34885062166317
1,2020-03-31,3785.8625063740883,90.86070015297813
1,2020-04-30,1058.8546368023526,25.412511283256464
1,2020-05-31,4843.464377858492,116.24314506860382
1,2020-06-30,3675.813761409015,88.21953027381636
1,2020-07-31,1502.4757052375594,36.05941692570143
1,2020-08-31,2298.2872564007075,55.158894153616984
1,2020-09-30,2324.8078473685155,55.79538833684437
1,2020-10-31,5140.729600512185,123.37751041229244
1,2020-11-30,967.7041016368951,23.224898439285482
1,2020-12-31,3053.491195586368,73.28378869407283
1,2021-01-31,6069.431253060744,145.66635007345786
1,2021-02-28,2943.5439725717997,70.6450553417232
1,2021-03-31,896.603509678178,21.518484232276272
1,2021-04-30,3683.0405403461605,88.39297296830784
1,2021-05-31,3817.1048594463273,91.61051662671187
1,2021-06-30,4407.187010020986,105.77248824050368
1,2021-07-31,2291.0011281329353,54.984027075190454
1,2021-08-31,2737.3958985132767,65.69750156431864
1,2021-09-30,4815.214763146117,115.5651543155068
1,2021-10-31,5749.50305719547,137.9880733726913
1,2021-11-30,3820.596691705387,91.69432060092929
1,2021-12-31,3541.4769240034143,84.99544617608196
1,2022-01-31,1350.9038114526365,32.42169147486327
1,2022-02-28,2401.3703389995944,57.63288813599026
1,2022-03-31,2497.9748895890616,59.95139735013748
1,2022-04-30,3556.923876341594,85.36617303219826
1,2022-05-31,1312.8268981767087,31.50784555624101
1,2022-06-30,2141.5483363901153,51.39716007336276
1,2022-07-31,1415.3478079228623,33.96834739014869
1,2022-08-31,2589.3006811043733,62.14321634650496
1,2022-09-30,2134.5033134447326,51.22807952267358
1,2022-10-31,4257.313569534233,102.17552566882159
1,2022-11-30,1780.661535933562,42.73587686240548
1,2022-12-31,2392.5056703994846,57.420136089587636
1,2023-01-31,4366.394771609681,104.79347451863234
1,2023-02-28,3318.970029685019,79.65528071244046
1,2023-03-31,4439.5980182421035,106.5503524378105
1,2023-04-30,4063.055161305396,97.5133238713295
1,2023-05-31,2127.2886161844417,51.054926788426606
1,2023-06-30,3115.6160792112614,74.77478590107027
1,2023-07-31,3277.2260278830336,78.6534246691928
1,2023-08-31,1956.9811956923913,46.96754869661739
1,2023-09-30,1309.365927556579,31.424782261357898
1,2023-10-31,3535.8110659788013,84.85946558349124
1,2023-11-30,4361.049831520367,104.6651959564888
1,2023-12-31,3072.9778287392155,73.75146788974118
2,2019-01-31,4044.3204829939423,97.06369159185462
2,2019-02-28,1178.7756130834969,28.290614714003926
2,2019-03-31,4728.9260497258865,113.49422519342127
2,2019-04-30,835.995868989794,20.063900855755055
2,2019-05-31,1707.2125038668676,40.97310009280482
2,2019-06-30,2013.394558668365,48.32146940804076
2,2019-07-31,3186.8985218910584,76.48556452538541
2,2019-08-31,4107.339384551331,98.57614522923195
2,2019-09-30,4355.7910008227855,104.53898401974685
2,2019-10-31,2863.5653437625756,68.72556825030182
2,2019-11-30,3445.8211553798124,82.69970772911549
2,2019-12-31,6103.733126875172,146.48959504500414
2,2020-01-31,1105.4504076350952,26.530809783242283
2,2020-02-29,2549.699707474146,61.19279297937951
2,2020-03-31,2073.397389580985,49.76153734994364
