Industry_ID,Date,Past_Violation_Count,Inspection_Frequency,Penalty_Last_Year,Audit_Score
1,2019-01-31,2,2,0,92.84934481555126
1,2019-02-28,3,1,0,65.9683443290552
1,2019-03-31,0,2,0,66.37826307258219
1,2019-04-30,5,1,0,78.9943629105387
1,2019-05-31,1,3,0,92.02358864403233
1,2019-06-30,2,3,0,74.96393564254923
1,2019-07-31,1,3,0,90.81637436553402
1,2019-08-31,1,1,1,60.243324568591675
1,2019-09-30,3,1,0,94.92091697671296
1,2019-10-31,1,2,0,82.13070407077528
1,2019-11-30,1,4,0,92.91831425713613
1,2019-12-31,4,3,0,72.22233511144313
1,2020-01-31,0,3,1,69.9372341158113
1,2020-02-29,3,2,1,73.75842036333661
1,2020-03-31,1,4,0,69.78461196288654
1,2020-04-30,2,3,0,63.4011772819769
1,2020-05-31,5,1,0,62.482932094997466
1,2020-06-30,1,3,0,64.44711794281596
1,2020-07-31,3,3,0,86.04149250496904
1,2020-08-31,3,2,0,86.52461386625292
1,2020-09-30,1,3,0,93.2201006056985
1,2020-10-31,3,1,0,92.95126830717838
1,2020-11-30,2,2,0,77.36131090026922
1,2020-12-31,2,4,1,75.01479095812564
1,2021-01-31,1,3,1,83.68694665485062
1,2021-02-28,1,3,1,72.28202543932275
1,2021-03-31,0,1,0,80.34568960293738
1,2021-04-30,1,2,0,61.970614648864306
1,2021-05-31,1,4,0,71.29402358971542
1,2021-06-30,1,2,0,81.70464092305379
1,2021-07-31,3,2,0,92.91861394973841
1,2021-08-31,4,1,0,69.56924751757472
1,2021-09-30,1,3,0,67.25296771528198
1,2021-10-31,3,1,0,84.64279188347282
1,2021-11-30,5,4,1,86.91212094603891
1,2021-12-31,1,1,1,76.58865740920054
1,2022-01-31,1,2,0,71.25539676380102
1,2022-02-28,1,3,0,84.96723550595934
1,2022-03-31,1,2,0,68.16257440424305
1,2022-04-30,2,3,1,81.20211867749106
1,2022-05-31,3,2,0,92.10884645799361
1,2022-06-30,2,1,0,70.10206936340896
1,2022-07-31,3,3,0,81.21356583695436
1,2022-08-31,3,3,0,78.30728986691918
1,2022-09-30,2,2,0,68.01588868236787
1,2022-10-31,1,2,0,90.68679728666123
1,2022-11-30,4,1,1,93.56761780974097
1,2022-12-31,0,3,0,80.17009260583846
1,2023-01-31,4,1,0,67.19529329314732
1,2023-02-28,2,1,1,72.68378646908216
1,2023-03-31,2,3,0,87.99237077259943
1,2023-04-30,1,4,1,93.11404117467714
1,2023-05-31,2,2,0,79.93052312172252
1,2023-06-30,0,2,0,67.27601893011095
1,2023-07-31,2,2,0,90.13738069911525
1,2023-08-31,1,2,1,94.45407632462432
1,2023-09-30,2,1,0,69.32744376798088
1,2023-10-31,0,3,0,73.62534649146917
1,2023-11-30,0,4,0,89.45353811085153
1,2023-12-31,0,4,0,69.5250798030487
2,2019-01-31,3,3,0,61.80585323305485
2,2019-02-28,2,3,0,89.0120415952737
2,2019-03-31,3,4,0,90.68328822518573
2,2019-04-30,2,1,0,74.62183737585669
2,2019-05-31,3,4,1,87.92962627501842
2,2019-06-30,0,1,0,66.52533917504891
2,2019-07-31,1,4,0,81.80280840272916
2,2019-08-31,3,2,0,85.31970397910047
2,2019-09-30,2,1,0,78.24411092631452
2,2019-10-31,0,4,0,86.02278897020628
2,2019-11-30,3,2,0,75.12842743623793
2,2019-12-31,0,4,0,90.50378821533317
2,2020-01-31,2,1,1,63.576776689280166
2,2020-02-29,5,2,1,68.04841120618802
2,2020-03-31,4,1,1,93.86289422648221
2,2020-04-30,2,1,0,73.73727447423397
2,2020-05-31,2,2,0,72.11057986756938
2,2020-06-30,2,3,0,92.76742861852915
2,2020-07-31,3,1,0,75.35125257713385
2,2020-08-31,0,3,0,94.87168706198597
2,2020-09-30,2,4,0,77.66957086625563
2,2020-10-31,3,2,0,91.81613822329743
2,2020-11-30,2,3,0,73.96660811479889
2,2020-12-31,1,4,0,84.7372025909906
2,2021-01-31,1,2,1,64.30397829853693
2,2021-02-28,3,3,0,64.88779391647095
2,2021-03-31,1,3,1,73.10038684989274
2,2021-04-30,2,4,0,94.2010964477461
2,2021-05-31,4,2,0,71.49334297597784
2,2021-06-30,6,1,0,73.95879733139152
2,2021-07-31,3,3,0,76.77141303052599
2,2021-08-31,2,4,0,78.38071842834711
2,2021-09-30,4,1,0,66.1170704989582
2,2021-10-31,1,1,0,90.197897714013
2,2021-11-30,1,1,0,75.49509383728345
2,2021-12-31,2,3,0,78.16709268178946
2,2022-01-31,4,4,0,63.1068587937719
2,2022-02-28,0,3,0,94.73692257554313
2,2022-03-31,1,1,0,71.95860756639223
2,2022-04-30,2,2,1,73.32181527168031
2,2022-05-31,3,2,0,81.22298305516814
2,2022-06-30,1,4,0,77.71496519940854
2,2022-07-31,0,3,0,81.68242129926557
2,2022-08-31,1,4,0,74.912918436163
2,2022-09-30,2,3,0,83.83411895333856
2,2022-10-31,0,2,0,85.80749770857298
2,2022-11-30,1,2,1,68.85704514802745
2,2022-12-31,0,4,0,85.07131858219388
2,2023-01-31,1,1,0,89.0687059741694
2,2023-02-28,0,1,0,61.468292820107266
2,2023-03-31,2,1,0,79.25321791603545
2,2023-04-30,2,2,1,85.49717370065646
2,2023-05-31,2,4,0,74.46957572533415
2,2023-06-30,3,4,1,67.14124721201146
2,2023-07-31,3,3,0,89.46896300238481
2,2023-08-31,1,1,0,80.58707934319366
2,2023-09-30,2,2,0,86.1073823084786
2,2023-10-31,2,2,0,87.49780663280812
2,2023-11-30,0,2,0,84.41847196320263
2,2023-12-31,0,3,0,75.28977459153128
3,2019-01-31,3,1,0,62.28781551475348
3,2019-02-28,2,4,0,81.85489062651048
3,2019-03-31,0,1,0,68.78383314691042
3,2019-04-30,2,2,0,90.16954179414952
3,2019-05-31,4,4,1,90.78536492330352
3,2019-06-30,3,2,0,72.48348409496177
3,2019-07-31,3,2,0,67.07054839408715
3,2019-08-31,3,2,1,82.96469063072033
3,2019-09-30,1,4,0,76.49087646264852
3,2019-10-31,2,1,0,80.20374057690145
3,2019-11-30,1,1,1,69.77466309590437
3,2019-12-31,3,4,0,67.93556340232287
3,2020-01-31,7,4,1,69.85324194452255
3,2020-02-29,5,3,0,89.33532642431736
3,2020-03-31,1,3,1,90.76426150987936
3,2020-04-30,2,4,0,87.5362617304053
3,2020-05-31,2,2,1,71.59714524860678
3,2020-06-30,3,2,0,88.58387614077513
3,2020-07-31,1,3,0,91.76638508947943
3,2020-08-31,2,3,0,79.23542798527502
3,2020-09-30,1,3,1,85.33905694131329
3,2020-10-31,3,4,0,89.81444329058817
3,2020-11-30,0,3,0,72.99103482031697
3,2020-12-31,2,2,0,63.54409701153056
3,2021-01-31,1,2,0,61.083452682177025
3,2021-02-28,4,1,1,87.07386120370974
3,2021-03-31,2,3,0,72.15469636606777
3,2021-04-30,2,4,0,80.96922047641138
3,2021-05-31,2,4,1,80.60560327459619
3,2021-06-30,3,1,0,60.11087470032456
3,2021-07-31,1,3,0,64.70522952928427
3,2021-08-31,6,1,0,69.81170612770323
3,2021-09-30,1,2,0,84.74802670433444
3,2021-10-31,3,1,0,86.58640000449287
3,2021-11-30,1,2,0,65.00065864687942
3,2021-12-31,2,2,0,71.9129761207017
3,2022-01-31,3,1,0,77.2834914159925
3,2022-02-28,0,3,0,94.98131868754707
3,2022-03-31,1,4,1,67.41979191445303
3,2022-04-30,2,4,0,61.50524331534288
3,2022-05-31,1,3,0,78.58281874442329
3,2022-06-30,0,3,0,72.87067777817884
3,2022-07-31,5,4,0,73.9301852534076
3,2022-08-31,2,1,0,85.39695200960455
3,2022-09-30,4,3,0,62.177112915764596
3,2022-10-31,3,2,0,90.23865532572536
3,2022-11-30,3,4,0,75.29485599829673
3,2022-12-31,2,4,0,89.93224447564295
3,2023-01-31,2,1,0,83.18519040953738
3,2023-02-28,2,3,0,89.65450837026508
3,2023-03-31,1,4,0,80.30310921343091
3,2023-04-30,2,1,0,70.33346308713747
3,2023-05-31,1,4,0,61.31498816396176
3,2023-06-30,2,1,0,81.33708540799157
3,2023-07-31,1,4,0,79.05739356863528
3,2023-08-31,5,1,0,64.37938399996115
3,2023-09-30,3,2,0,87.51719782913703
3,2023-10-31,3,4,0,93.33634908407464
3,2023-11-30,4,4,0,79.21005327770746
3,2023-12-31,1,3,0,94.3717337955587
4,2019-01-31,3,4,0,72.12834587834514
4,2019-02-28,1,4,0,63.22333386315158
4,2019-03-31,0,4,1,63.70670315413152
4,2019-04-30,4,4,0,83.27480806832207
4,2019-05-31,2,1,0,84.99184531823444
4,2019-06-30,2,4,0,90.97375078632058
4,2019-07-31,1,3,0,69.40987300337677
4,2019-08-31,0,2,0,87.47841999334977
4,2019-09-30,2,1,0,66.49763467154351
4,2019-10-31,5,2,0,69.50245639636537
4,2019-11-30,2,1,0,83.57758961162176
4,2019-12-31,1,4,0,64.14452637115761
4,2020-01-31,5,2,0,90.46844381942844
4,2020-02-29,2,1,1,83.56362537740861
4,2020-03-31,1,2,0,75.79529395602393
4,2020-04-30,2,1,1,75.76675000147084
4,2020-05-31,2,3,0,60.29272886569
4,2020-06-30,2,1,0,84.96325538291678
4,2020-07-31,2,1,0,69.48299444107279
4,2020-08-31,3,3,0,86.18814909661636
4,2020-09-30,5,4,0,69.08517572462672
4,2020-10-31,3,4,1,88.93282201112241
4,2020-11-30,3,4,0,68.12063631080838
4,2020-12-31,4,4,0,90.39437757794838
4,2021-01-31,4,4,1,65.85749612828734
4,2021-02-28,2,4,0,66.000196184869
4,2021-03-31,0,3,0,72.42236313069535
4,2021-04-30,2,2,0,81.10638442686492
4,2021-05-31,3,3,0,69.3996758608775
4,2021-06-30,0,3,0,72.3793840303257
4,2021-07-31,2,4,0,77.69280661364525
4,2021-08-31,4,3,0,79.68943204455665
4,2021-09-30,1,3,0,86.6856435536204
4,2021-10-31,1,4,0,89.89912761490675
