Industry_ID,Date,Industry_Type,Production_Volume,Capacity_Utilization,Fuel_Type,Fuel_Consumption,Operating_Hours,Equipment_Age,Scrubber_Installed
1,31-01-2019,Chemical,13979.87726,66.24074562,Coal,917.0722879,418.5867559,15,0
1,28-02-2019,Chemical,10997.91458,61.86662653,Coal,1620.82373,474.4868289,15,0
1,31-03-2019,Chemical,6465.08171,87.36932106,Coal,607.8162692,439.0522352,15,0
1,30-04-2019,Chemical,10927.25354,97.06635463,Coal,1341.071226,504.493046,15,0
1,31-05-2019,Chemical,7980.735223,60.22088468,Coal,1049.834936,626.19435,15,0
1,30-06-2019,Chemical,9120.826895,82.44973703,Coal,805.3023185,710.9478705,15,0
1,31-07-2019,Chemical,12628.56037,96.30265896,Coal,946.2482149,531.3225354,15,0
1,31-08-2019,Chemical,9865.175315,64.88351819,Coal,844.7528295,690.1851013,15,0
1,30-09-2019,Chemical,19143.64556,72.92811728,Coal,1950.336656,624.9660668,15,0
1,31-10-2019,Chemical,12964.01875,77.91132658,Coal,1364.972575,589.6629516,15,0
1,30-11-2019,Chemical,7797.777656,61.63100566,Coal,850.6540617,616.8205958,15,0
1,31-12-2019,Chemical,15436.76599,69.14200087,Coal,1041.912126,714.2938699,15,0
1,31-01-2020,Chemical,6262.099475,66.46514856,Coal,875.788545,594.0572991,15,0
1,29-02-2020,Chemical,7682.340638,74.65875138,Coal,955.814177,630.7007758,15,0
1,31-03-2020,Chemical,12387.76541,67.80971951,Coal,1514.345003,489.847156,15,0
1,30-04-2020,Chemical,6130.19384,72.22788077,Coal,423.5418547,485.9119542,15,0
1,31-05-2020,Chemical,16111.52927,87.88062964,Coal,1937.385751,515.0371684,15,0
1,30-06-2020,Chemical,9922.290012,66.20166467,Coal,1470.325505,668.4587207,15,0
1,31-07-2020,Chemical,5775.225818,81.25418526,Coal,600.9902821,603.9775685,15,0
1,31-08-2020,Chemical,6408.099351,67.31463988,Coal,919.3149026,604.24659,15,0
1,30-09-2020,Chemical,15554.86789,78.96695316,Coal,929.9231389,557.31708,15,0
1,31-10-2020,Chemical,14237.76747,97.75566418,Coal,2056.29184,677.5036587,15,0
1,30-11-2020,Chemical,6511.670021,60.72887303,Coal,387.0816407,618.5621675,15,0
1,31-12-2020,Chemical,11352.06413,82.74081135,Coal,1221.396478,634.1272817,15,0
1,31-01-2021,Chemical,17396.86199,72.80198404,Coal,2427.772501,524.5445372,15,0
1,28-02-2021,Chemical,19192.91814,91.25184202,Coal,1177.417589,697.8973138,15,0
1,31-03-2021,Chemical,6261.602092,88.03876526,Coal,358.6414039,662.995219,15,0
1,30-04-2021,Chemical,12225.00482,75.1195036,Coal,1473.216216,479.5917294,15,0
1,31-05-2021,Chemical,19432.58823,74.99482318,Coal,1526.841944,677.951721,15,0
1,30-06-2021,Chemical,19937.47063,87.87700223,Coal,1762.874804,635.8722259,15,0
1,31-07-2021,Chemical,6166.019554,98.97579231,Coal,916.4004513,623.4117485,15,0
1,31-08-2021,Chemical,11168.82675,91.10409135,Coal,1094.958359,715.2915362,15,0
1,30-09-2021,Chemical,13331.47558,90.75949661,Coal,1926.085905,671.887165,15,0
1,31-10-2021,Chemical,17470.57235,72.31108959,Coal,2299.801223,709.7516049,15,0
1,30-11-2021,Chemical,10883.66068,77.49899688,Coal,1528.238677,511.4417494,15,0
1,31-12-2021,Chemical,13058.95125,78.40476636,Coal,1416.59077,528.0961565,15,0
1,31-01-2022,Chemical,9178.855085,67.08041937,Coal,540.3615246,438.6034788,15,0
1,28-02-2022,Chemical,13048.85969,96.96167036,Coal,960.5481356,643.1857309,15,0
1,31-03-2022,Chemical,12989.259,69.69882015,Coal,999.1899558,520.7309322,15,0
1,30-04-2022,Chemical,13366.13399,83.46141739,Coal,1422.769551,521.2072403,15,0
1,31-05-2022,Chemical,7798.505361,71.40380675,Coal,525.1307593,686.9649359,15,0
1,30-06-2022,Chemical,12149.29226,93.54330235,Coal,856.6193346,709.7581013,15,0
1,31-07-2022,Chemical,10049.06417,65.37658708,Coal,566.1391232,716.7872744,15,0
1,31-08-2022,Chemical,18896.74135,88.86386203,Coal,1035.720272,650.0846342,15,0
1,30-09-2022,Chemical,10654.16644,78.50719143,Coal,853.8013254,639.2350017,15,0
1,31-10-2022,Chemical,13597.26274,99.90770464,Coal,1702.925428,626.2337476,15,0
1,30-11-2022,Chemical,10959.30936,91.89181463,Coal,712.2646144,473.3604465,15,0
1,31-12-2022,Chemical,15891.43379,83.71851621,Coal,957.0022682,694.0001671,15,0
1,31-01-2023,Chemical,11762.59057,64.52952183,Coal,1746.557909,668.4473877,15,0
1,28-02-2023,Chemical,12212.55467,96.738189,Coal,1327.588012,410.5109345,15,0
1,31-03-2023,Chemical,19416.05476,65.94650911,Coal,1775.839207,427.3118938,15,0
1,30-04-2023,Chemical,15710.888,81.10590921,Coal,1625.222065,553.9481435,15,0
1,31-05-2023,Chemical,7342.28896,88.63888915,Coal,850.9154465,408.6707176,15,0
1,30-06-2023,Chemical,19439.73978,97.77638902,Coal,1246.246432,530.0455386,15,0
1,31-07-2023,Chemical,17261.65343,73.67269407,Coal,1310.890411,521.5015706,15,0
1,31-08-2023,Chemical,7731.607082,79.39113469,Coal,782.7924783,637.3398222,15,0
1,30-09-2023,Chemical,6766.266243,83.06065902,Coal,523.746371,577.3369608,15,0
1,31-10-2023,Chemical,16563.67066,76.88144238,Coal,1414.324426,706.7606967,15,0
1,30-11-2023,Chemical,12140.75603,86.54684661,Coal,1744.419933,634.4230711,15,0
1,31-12-2023,Chemical,11191.90326,88.19702199,Coal,1229.191131,547.0980841,15,0
2,31-01-2019,Cement,13128.51421,94.91783344,Coal,1617.728193,658.0995673,17,0
2,28-02-2019,Cement,6807.838682,89.24094686,Coal,471.5102452,436.8902468,17,0
2,31-03-2019,Cement,15444.33164,73.59499855,Coal,1891.57042,420.9140291,17,0
2,30-04-2019,Cement,6050.445586,60.37941735,Coal,334.3983476,428.3338914,17,0
2,31-05-2019,Cement,9308.584875,71.85232482,Coal,682.8850015,413.4698207,17,0
2,30-06-2019,Cement,11023.70355,93.51302941,Coal,805.3578235,665.8056057,17,0
2,31-07-2019,Cement,18916.28425,99.79631291,Coal,1274.759409,526.797446,17,0
2,31-08-2019,Cement,12150.15242,61.77506654,Coal,1642.935754,411.3351579,17,0
2,30-09-2019,Cement,17768.10371,79.80586108,Coal,1742.3164,589.5704911,17,0
2,31-10-2019,Cement,7838.323097,95.26548531,Coal,1145.426138,548.9504028,17,0
2,30-11-2019,Cement,9305.571998,84.67707674,Coal,1378.328462,602.1803286,17,0
2,31-12-2019,Cement,19209.46832,66.65510348,Coal,2441.493251,626.7430415,17,0
2,31-01-2020,Cement,5368.803747,60.88494206,Coal,442.1801631,556.3658209,17,0
2,29-02-2020,Cement,6970.026896,94.7221729,Coal,1019.879883,410.0167404,17,0
2,31-03-2020,Cement,12098.1486,98.72773712,Coal,829.3589558,677.9594137,17,0
2,30-04-2020,Cement,8383.102137,66.43301876,Coal,965.3305303,504.2961485,17,0
2,31-05-2020,Cement,16697.76483,61.58475301,Coal,1637.227442,433.5776571,17,0
2,30-06-2020,Cement,19661.99579,68.03436359,Coal,2346.057425,662.861033,17,0
2,31-07-2020,Cement,17025.92125,73.5780077,Coal,2238.610884,425.6367508,17,0
2,31-08-2020,Cement,16164.18598,94.87331116,Coal,1509.177846,413.9717305,17,0
2,30-09-2020,Cement,5459.787533,70.30731554,Coal,525.5716818,677.8472017,17,0
